Category,Sub Category,Product_id,Product_name,Price,Rating_value,Rating_count,Frequently_bought_together
Sách tham khảo cấp III,Sách Tham Khảo Lớp 10,801562,Bồi Dưỡng Học Sinh Giỏi Sinh Học 10,46000,5,6,873864;873904;873858;873850;
Sách kinh tế,"Sách quản trị, lãnh đạo",1989645,Thuật Tẩy Não (Tái Bản),97300,5,3,2126449;2301017;2224911;
Sách Bà mẹ - Em bé,Sách Làm Cha Mẹ,3236901,70 Thói Quen Tốt Trong Việc Nuôi Dưỡng Con Theo Phương Pháp Shichida,74000,5,2,None
Sách kinh tế,Sách kỹ năng làm việc,3343895,Để Xây Dựng Doanh Nghiệp Hiệu Quả (Tái Bản 2018),76300,0,0,None
Sách tiếng Việt ,Sách văn học,430595,Ta Tự Cười Mình,53040,4.4,25,417666;427540;475257;428913;
Sách tiếng Việt ,Sách văn học,415434,Bỉ Vỏ (Tái Bản 2014),31500,4.5,22,471335;461249;452387;456321;
Sách tiếng Việt ,Sách văn học,376360,Hạt Ngọc Ẩn Mình,76300,4.5,22,420150;362874;440058;414308;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",509618,Combo Dragon Ball (Trọn Bộ 42 Tập),728910,4.7,19,None
Sách tiếng Việt ,Sách văn học,341332,Casablanca - Bộ Phim Huyền Thoại,44000,4.7,19,341922;342329;350837;345680;
Văn học nước ngoài,Tiểu thuyết ,3601653,Bức Ảnh Dài Nhất Thế Giới,66000,4.2,6,None
Văn học thiếu nhi,Văn học nước ngoài,4472503,Combo Thị Trấn Mèo (2 Tập),102000,4.4,25,None
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,423284,Không Gục Ngã (Sách Bỏ Túi),13300,4.5,20,528439;397405;654556;
Sách tiếng Việt ,Sách văn học,335376,Nhật Ký Chú Bé Nhút Nhát Tập 3: Giọt Nước Tràn Ly,50000,4.6,20,None
Sách văn học,Tiểu thuyết tình cảm,3472311,"Nơi Nào Đông Ấm, Nơi Nào Hạ Mát (Tái Bản 2018)",96000,4.8,4,None
Móc Khóa - Phụ Kiện Trang Trí,Móc Khóa   ,2000901,Móc Khóa Gỗ 12 Con Giáp,15000,4.8,4,None
Sách văn học,Văn học Việt Nam,596510,Về Nhà - Bất Hạnh Là Một Tài Sản,74250,4.6,13,430935;605875;584128;
Sách tiếng Việt ,Điện Ảnh - Nhạc - Họa,480115,Tô Màu Indonesia - Ngày Xửa Ngày Xưa,36750,4.6,13,480116;478668;442004;
Sách tiếng Việt ,Sách văn học,422392,Tôi Không Phải Là Công Chúa (Tái Bản 2015),54000,3.5,117,None
Sách tiếng Việt ,Sách văn học,435691,Nếu Đời Anh Vắng Em (Tái Bản 2015),61320,4.4,22,524306;449733;552059;
Sách văn học,Truyện tranh,1935493,Hiệp Sĩ Lưu Ban (Tập 4) - Tặng Kèm Bookmark,63700,4.3,9,2298725;2124611;2063609;2063611;
Sách tiếng Việt ,Sách kinh tế,391666,Kỹ Năng Học Tập Theo Phương Pháp Buzan (Tái Bản 2014),224000,4.6,17,381238;461661;417724;
Sách văn học,Văn học nước ngoài,912958,Combo Vạn Dặm Phiêu Lưu (4 Cuốn),174000,4.6,17,454025;851095;1044664;914764;
Sách tiếng Việt ,Sách văn học,540327,Đến Nhật Bản Học Về Cuộc Đời (Tái bản 2017),66300,4.4,16,585218;546102;576379;
Sách Học Ngoại Ngữ,Sách Học Tiếng Hàn,1415641,Quick Korean - Nói Tiếng Hàn Cấp Tốc,157900,4.5,10,None
Sách tiếng Việt ,Sách Bà mẹ - Em bé,430070,Cha Mẹ Thời Đại Kĩ Thuật Số,76000,4.8,13,560507;399386;438310;408180;
Sách thiếu nhi ,Kiến thức - Bách khoa,1577243,Đường Hoa (Boxset Trọn Bộ 2 Tập),68600,4.9,15,1577259;1577245;1577255;1577265;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",414924,Thám Tử Lừng Danh Conan Tập 37 (Tái Bản 2014),16020,4.8,9,414880;414927;414921;414726;
Sách văn học,Truyện ngôn tình,800029,Mùa Đông Dài,110600,4.8,15,776687;1332613;883456;1332615;
Văn học nước ngoài,Tiểu thuyết ,1065088,Combo Phù Dao Hoàng Hậu 3A Và 3B,179200,4.9,12,1065096;860199;900363;813750;
Sách tiếng Việt ,Sách văn học,404302,Yêu Người Tử Tù,86250,4.7,16,384830;431094;532156;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",3246079,Hồ Sơ Mật - Tập 4,35000,3.4,3,None
Văn phòng phẩm - Quà lưu niệm,Sổ Tay Các Loại,418232,Sổ Tay Sài Gòn In My Heart - Nhà Hát Thành Phố,41000,4.4,24,None
Sách tiếng Việt ,Sách văn học,373826,Tiếng Người (Tiểu Thuyết),37500,4.3,12,363789;366901;352367;
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,418606,Sức Hút Của Kỹ Năng Nói Chuyện,56000,4.6,13,470218;467439;441924;551290;
Sách Khoa Học - Kỹ Thuật,Sách Khoa Học Tự Nhiên,1747351,6 Phát Minh Làm Nên Thời Đại,124000,5,6,1938909;1569391;1374397;
Sách tiếng Việt ,Sách kinh tế,512557,Nghệ Thuật Theo Đuổi Sự Tối Giản (Tái Bản 2017),89000,5,5,416663;512544;467847;
Sách Học Ngoại Ngữ,Sách Học Tiếng Hàn,821071,Cẩm Nang Luyện Thi TOPIK II,214600,5,3,745301;746094;609457;
