Category,Sub Category,Product_id,Product_name,Price,Rating_value,Rating_count,Frequently_bought_together
Sách tiếng Việt ,Sách Tâm lý - Giới tính,469899,Cẩm Nang Con Trai (Tái Bản 2016),36000,4.6,18,484274;859059;698600;868249;
Sách thiếu nhi ,Mẫu giáo (0 - 6 tuổi),972399,Chú Cừu Xanh Lá Ở Đâu Rồi Nhỉ?,39000,4.9,12,580457;580459;434255;619250;
Sách tiếng Việt ,Sách văn học,381653,Những Cô Em Gái (Tái Bản 2013),39550,4.1,35,394460;392103;382207;390223;
Sách tiếng Việt ,Sách văn học,458133,Liên Hoa Lâu (Tập 4): Bạch Hổ Quyển,74750,4.9,19,423779;444195;361784;
Sách kinh tế,Sách kỹ năng làm việc,2407107,"Mặc Kệ Nó, Làm Tới Đi! (Tái Bản 2018)",76300,4.8,4,2429951;2316589;2237961;2455541;
Sách tiếng Việt ,Sách Lịch sử,581983,Việt Nam Sử Lược (Bản Đặc Biệt - Ấn Bản Kỉ Niệm 60 Năm NXB Kim Đồng),158400,4.6,25,609135;638889;571877;575950;
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,432916,Mẹ Dắt Con Đi,47600,4.5,26,358167;479971;508816;528187;
Sách kỹ năng - Sống đẹp,Sách tư duy - Kỹ năng sống,2831479,Chữa Lành Sau Nỗi Đau,58800,3.8,11,None
Sách tiếng Việt ,Sách văn học,385202,Mệnh Phượng Hoàng - Tập 2,81000,4.4,26,386918;401371;423948;
Sách tiếng Việt ,Sách Tham Khảo,1932359,Sinh Học Phân Tử Của Tế Bào - Tập 1: Cơ Sở Hóa Học Và Phân Tử (Ấn Bản 7),118000,4.9,8,None
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",414920,Thám Tử Lừng Danh Conan Tập 20 (Tái Bản 2014),16020,4.6,7,414916;414735;414761;414720;
Sách tiếng Việt ,Sách văn học,426729,Trên Sa Mạc Và Trong Rừng Thẳm (Tái Bản 2015),74250,4.7,20,446984;539401;442288;425734;
Sách tiếng Việt ,Sách văn học,436565,Chí Dị Huyền Nghi Hệ Liệt - Tương Tư Môn,66750,4.5,29,405133;360994;386902;392858;
Sách tiếng Việt ,Sách văn học,459270,Giai Điệu Cho Trái Tim Tan Vỡ,56940,4.2,38,467580;470941;391193;
Sách tiếng Việt ,Sách văn học,349695,Cậu Bé Học Việc Và Thầy Trừ Tà - Phần 1: Sự Báo Thù Của Phù Thuỷ,45000,4.2,39,None
Sách Văn Hoá - Du Lịch,Sách Văn hóa - Du lịch ,1205101,"Bốn Mùa Chân Bước, Nghìn Dặm Nước Anh",88000,4.6,11,1204919;720399;1590663;922403;
Truyện tranh Doremon,Doremon Truyện Ngắn,853251,Fujiko F Fujio Đại Tuyển Tập - Doraemon Truyện Ngắn (Tập 2),129050,4.4,20,1210031;1387525;477720;1015897;
Sách tiếng Việt ,Sách Văn Hoá - Du Lịch,524515,Du Học Nhật Bản,59000,4.6,20,None
Văn học nước ngoài,Tiểu thuyết ,1216577,Monster - Hồi Sinh Thành Quái Vật (Tập 1),86250,4.8,19,1017113;1287205;1314621;1287217;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",689034,One Punch Man (Tập 7),17800,4.5,15,655743;617391;648662;718363;
Văn học nước ngoài,Tiểu thuyết ,1520109,W – Hai Thế Giới (Sách Ảnh),107400,4.3,32,1529905;1367475;1379839;1000783;
Sách thiếu nhi ,Mẫu giáo (0 - 6 tuổi),625351,Bộ Sách Rèn Luyện Trí Thông Minh - 688 Câu Đố Phát Triển Trí Tuệ 2 -3 Tuổi - Cấp Độ 1 Sao,31500,5,5,566078;571117;566072;566075;
Văn học Việt Nam,Truyện ngắn – Tản văn ,1044666,Truyện Ngắn Nguyên Hồng,22000,4.2,6,1044670;1044672;1044668;1063878;
Sách tiếng Việt ,Sách kinh tế,355609,"Nóng, Phẳng, Chật - Tại Sao Thế Giới Cần Cách Mạng Xanh Và Làm Thế Nào Chúng Ta Thay Đổi Được Tương Lai (Tái Bản)",128500,4.5,21,481169;475153;470891;
Sách Tâm lý - Giới tính,Sách Hôn Nhân - Giới Tính,1640063,Boxet Sách Tâm Lý Học Trong Nháy Mắt,419300,4.2,11,1617809;1580415;1065618;795522;
Series Books,Peppa Pig,3320515,Peppa Pig: Little Library Collection : 6 Books,109000,3.8,5,None
Sách tiếng Việt ,Sách văn học,381733,Cho Anh Thêm Một Ngày Nữa Để Yêu Thương,50400,4.4,29,421486;403947;344218;403046;
Sách Tham Khảo,Sách Luyện Thi Đại Học - Cao Đẳng,902422,Tiếp Cận 23 Phương Pháp Giải Nhanh Hiện Đại Hóa Học,134400,4,18,563340;566288;638172;638185;
Sách văn học,Truyện trinh thám,997529,Án Mạng Đêm Giáng Sinh,83000,4.4,12,997549;1587283;1587281;615837;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",2696137,Cardcaptor Sakura - Thẻ Bài Pha Lê – Tập 3,17800,4.8,8,None
Sách tiếng Việt ,Sách văn học,550793,Mèo Chiến Binh - Vào Trong Hoang Dã,56210,4.8,17,520724;472408;359287;430377;
Sách tiếng Việt ,Sách văn học,413887,Mụ Ghẻ,56250,4.6,26,460627;399185;426743;
Sách tiếng Việt ,Sách văn học,540994,Chân Đi Không Mỏi - Hành Trình Đông Nam Á,62050,4,30,565422;587908;635382;554645;
Sách kinh tế,Sách kỹ năng làm việc,602458,Tư Duy Logic,63200,4.5,12,976616;963848;656883;
Sách tiếng Việt ,Sách Tham Khảo,483761,Siêu Kỹ Năng - Luyện Đề THPT Quốc Gia Ngữ Văn ( Môn Ngữ Văn),97300,4.4,30,483785;469346;469324;
Bút - Viết các loại,Bút vẽ trên vải,136076,Bút Vẽ Trên Vải Marvy 520,18000,4.6,19,None
Văn học nước ngoài,Tiểu thuyết ,2373935,Người Sửa Đàn Dương Cầm (Tặng Kèm 1 Bookmark + 1 Bút Bi Búp Bê Cầu Mưa ),81000,4.6,11,2361785;2357769;2393067;2329013;
Văn học Việt Nam,Truyện ngắn – Tản văn ,1314289,Sài Gòn Kỳ Án - Cuộc Phiêu Lưu Của Những Giấc Mơ,64400,4.8,15,1346337;1027759;1362563;
Văn phòng phẩm - Quà lưu niệm,Dụng Cụ Văn Phòng,122506,Sổ Đựng Namecard Plus A5-240P- 82-V272,39000,4.6,20,None
Sách Công Nghệ Thông Tin,Lập Trình,1664525,Giáo Trình Kỹ Thuật Lập Trình C Căn Bản Và Nâng Cao,99900,4.5,4,978036;800399;508750;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",419499,Thám Tử Lừng Danh Conan 23 (Tái Bản 2014),16020,4.7,9,414773;414903;414767;414822;
None,None,953841,Xấp 10 Bìa Lá A4 - Trắng,21000,5,5,None
Sách thiếu nhi ,Sách học ngoại ngữ thiếu nhi,3035863,Mình Có Thể Làm Bất Cứ Việc Gì! – I Can Be Anything!,29250,0,0,None
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",3830775,Câu Chuyện Tình Tôi – Tập 5,16020,0,0,None
Sách kỹ năng - Sống đẹp,Sách tư duy - Kỹ năng sống,884634,Thuật Hùng Biện,45000,4.9,8,568131;809043;656737;710523;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",446482,Thám Tử Lừng Danh Conan (Tập 83),16020,4.9,12,439458;448152;414729;414785;
Sách tiếng Việt ,Sách Tôn Giáo - Tâm Linh,1725011,Mở Lối Yêu Thương,66000,4.9,12,1725001;1724999;1725003;
Văn học nước ngoài,Trinh thám - Phiêu lưu,1513855,Series Địch Công Kỳ Án: Tứ Bình Phong,64800,4.8,5,1429127;1429125;1355891;1355895;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",419579,Thám Tử Lừng Danh Conan 80 (Tái Bản 2014),16020,4.7,17,414706;414880;414726;419527;
Sách tiếng Việt ,Sách văn học,556610,Ranh Giới (Tập 1),60000,4.6,17,None
Sách tiếng Việt ,Sách văn học,416528,Bóng Tối Và Xương Trắng,88500,4.7,22,393747;541219;464665;430597;
Sách tiếng Việt ,Sách kỹ năng - Sống đẹp,469206,Luôn Mỉm Cười Với Cuộc Sống,28120,4.8,17,None
Sách tiếng Việt ,Sách văn học,512679,Danh Tác Việt Nam - Tắt Đèn,19000,4,6,None
Sách tiếng Việt ,Sách thiếu nhi ,393788,Danh Nhân Thế Giới - Niutơn (2014),19000,4.7,8,393790;393789;393787;393786;
Sách tiếng Việt ,Sách kinh tế,483943,Dạy Con Làm Giàu (Tập 4) - Con Giàu Con Thông Minh (Tái Bản 2016),58500,4.4,5,483957;483947;483936;394000;
Sách tiếng Việt ,Sách văn học,450679,Những Chiếc Đồng Hồ Kỳ Lạ,83460,4.2,32,450685;434171;434170;541206;
Sách tiếng Việt ,Sách văn học,410521,Gia Đình Buddenbrook,144300,4.7,20,493004;471332;483998;
Sách tiếng Việt ,Sách Kiến Thức Tổng Hợp,394377,Trang Tử Nam Hoa Kinh - Tập 1,72540,4.7,13,394378;392830;506183;493423;
Sách tiếng Việt ,Sách văn học,543996,Jane Eyre,111750,4.6,16,None
Sách văn học,Tiểu thuyết tình cảm,2166923,Xin Lỗi Em Chỉ Là Con Đĩ,56250,4.8,13,2167775;2282049;2282161;2180179;
Sách tiếng Việt ,Sách văn học,487851,Âm Thanh Của Im Lặng,98000,4.1,46,468006;410049;472136;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",414713,Thám Tử Lừng Danh Conan Tập 19 (Tái Bản 2014),16020,4.6,11,414722;414810;414918;414706;
Sách kinh tế,Bài học kinh doanh,2296281,Combo Sách “Cạnh Tranh Bằng Sáng Tạo” - Dave Trott,417000,4.3,13,2254425;2296365;2254427;
Sách tiếng Việt ,"Truyện Tranh, Manga, Comic",980282,Cô Dâu Pháp Sư (Tập 7),26250,4.9,18,996815;997001;1199401;800533;
Sách văn học,Light novel,3955273,Đến Thế Giới Mới Với Smartphone - Tập 2,63700,4.9,9,None
Sách tiếng Việt ,Sách Thường Thức - Đời Sống,564838,Bí Mật Những Mùi Hương,149250,4.7,16,440046;436579;450669;
Sách tiếng Việt ,Sách thiếu nhi ,450861,Ehon Nhật Bản - Trước Khi Đi Dã Ngoại,21750,4.4,20,442782;442774;450870;450865;
Sách tiếng Việt ,Sách văn học,464087,Tiếng Gọi Nơi Hoang Dã (Tái Bản 2015),26250,4.4,17,436231;512051;403605;
